,user_id,username,password,user_type,email,mobile_number,address
0,6aea4d1bac1148cbb6e3b2129bfd4eea,Betty Kinne,12345678,seller,BettyKinne@example.com,9644402374,"2715 Thornbrook Court, City - Odenton, State - MD, PostalCode - 21113"
1,a3935b585bf946749c8ed81ae533e076,Annie Williams,12345678,buyer,AnnieWilliams@example.com,8632063892,"200 Boulder Road, City - Manchester, State - CT, PostalCode - 06040"
2,43e902357ed04cc68bf48631a3934826,Evelyn Frazier,12345678,admin,EvelynFrazier@example.com,6675226764,"1008 Rhode Island Avenue Northwest, City - Washington, State - DC, PostalCode - 20001"
3,890fd4f2a0b744a1a5551b848e840337,Loretta Banks,12345678,inventory_manager,LorettaBanks@example.com,8315311063,"13 Riverview Avenue, City - Groton, State - CT, PostalCode - 06340"
4,5a208c9885884d3287f9d24c777629b0,Jacquline Vest,12345678,buyer,JacqulineVest@example.com,8216150469,"5715 Saint Matthew Drive, City - Newark, State - CA, PostalCode - 94560"
5,066c6812c31049ef84a11ed8c2213167,Christine Redd,12345678,inventory_manager,ChristineRedd@example.com,9991354206,"992 Sherwood Forest Road, City - Annapolis, State - MD, PostalCode - 21401"
6,064fc71f318246e2b23f6f037a1c594d,Joyce Bowen,12345678,inventory_manager,JoyceBowen@example.com,7609470199,"46 Sugarloaf Hill Road, City - Warren, State - VT, PostalCode - 05674"
7,3242bad85a5d45ea99b788213916faf7,Helen Mathews,12345678,buyer,HelenMathews@example.com,9769707247,"629 Cutter Court, City - Annapolis, State - MD, PostalCode - 21401"
8,fb26373207864d73b528e43191a0ca8a,Marion Slaughter,12345678,inventory_manager,MarionSlaughter@example.com,9419761585,"89 High Ledge Circle, City - Manchester, State - CT, PostalCode - 06040"
9,66908f6f7527481e8e446dff5de16f8f,Teresa Matzke,12345678,admin,TeresaMatzke@example.com,6701345451,"190 High Street, City - Medford, State - MA, PostalCode - 02155"
10,b884c836458641048ee69fa8be46fa1a,Howard Lopez,12345678,seller,HowardLopez@example.com,8596790737,"354 North University Avenue, City - Fayetteville, State - AR, PostalCode - 72701"
11,6a5965470e8444e3861669246767bd5e,Yvonne Moyer,12345678,inventory_manager,YvonneMoyer@example.com,7762357163,"6950 West Nicolet Avenue, City - Glendale, State - AZ, PostalCode - 85303"
12,2436ef1b8d3b4325a3d102f96a9ff66a,Lakeshia Cogliano,12345678,admin,LakeshiaCogliano@example.com,6857253465,"215 9th Street Northeast, City - Washington, State - DC, PostalCode - 20002"
13,89e34630873f4d08b86c46352ee9c935,Charles Doty,12345678,inventory_manager,CharlesDoty@example.com,9203124582,"3179 18th Street Northwest, City - Washington, State - DC, PostalCode - 20010"
14,a1b7b60de10749bd9b109089ea56b70e,Evette Rodriguez,12345678,seller,EvetteRodriguez@example.com,7599935371,"919 Windsor Avenue, City - Annapolis, State - MD, PostalCode - 21403"
15,183132db41394f6da070972ef1f68b3d,Faye Lange,12345678,admin,FayeLange@example.com,9436223509,"16040 North 67th Drive, City - Peoria, State - AZ, PostalCode - 85382"
16,7f21979585e34b1883a54f2a7bec3508,Mary Lunt,12345678,seller,MaryLunt@example.com,6035192521,"7096 Park Mesa Way, City - San Diego, State - CA, PostalCode - 92111"
17,1f5720bb7690459fbc55fe1c6c1788cd,Tiffany Trimpe,12345678,seller,TiffanyTrimpe@example.com,7283904159,"3031 Montgomery Street, City - Savannah, State - GA, PostalCode - 31405"
18,9a872ca35b7946039020698cf94e0528,Ashley Francois,12345678,inventory_manager,AshleyFrancois@example.com,6793136281,"5472 Sunstar Common, City - Fremont, State - CA, PostalCode - 94555"
19,ab490f2d903b45599e192694548b1f35,David Diaz,12345678,admin,DavidDiaz@example.com,7405823910,"8010 Queen Victoria Drive, City - Anchorage, State - AK, PostalCode - 99518"
20,0bf5fcb327fd4764aab2f21d98212cbd,Ernesto Nelson,12345678,inventory_manager,ErnestoNelson@example.com,8561515066,"6022 West Alice Avenue, City - Glendale, State - AZ, PostalCode - 85302"
21,d85af47ca7474d38a173153f31327dad,Jessica Sapp,12345678,inventory_manager,JessicaSapp@example.com,9162710399,"5385 Iris Street, City - Arvada, State - CO, PostalCode - 80002"
22,e2234c2568fb46c5a8789a0aae68e1d2,David Hernadez,12345678,admin,DavidHernadez@example.com,8554969393,"800 Old Stage Road, City - Glen Burnie, State - MD, PostalCode - 21061"
23,271a536f66a44de9b1d70639382775e0,Joanne Bridges,12345678,buyer,JoanneBridges@example.com,8469485813,"3951 Kimberly Street, City - Montgomery, State - AL, PostalCode - 36116"
24,b52e186f347448ed95f91c3065d0c45c,Sara Kuennen,12345678,seller,SaraKuennen@example.com,6239886007,"716 Waller Road, City - Brentwood, State - TN, PostalCode - 37027"
25,a932b104793345448eaad0cf54cac99c,Henry Diaz,12345678,buyer,HenryDiaz@example.com,7548136292,"88 Pine Valley Road, City - Savannah, State - GA, PostalCode - 31404"
26,0f18c45bcc024c01bd65f1bd801ed13a,Pamela Anderson,12345678,inventory_manager,PamelaAnderson@example.com,7758585300,"2900 North Western Avenue, City - Edmond, State - OK, PostalCode - 73012"
